,双百企业名单
389,成都产业投资集团有限公司
390,四川九洲卫星导航投资发展有限公司
391,成都市新筑路桥机械股份有限公司
392,贵州盘江煤电集团有限责任公司
393,贵州中建伟业建设工程有限责任公司
394,贵州金州电力有限责任公司
395,贵州轮胎股份有限公司
396,云南省贵金属新材料控股集团有限公司
397,云南云天化股份有限公司
398,云南锡业集团（控股）有限责任公司
399,云南省能源投资集团有限公司
400,云南省设计院集团
401,云南天朗节能环保集团有限公司
402,西藏高争建材股份有限公司
403,西藏甘露藏药股份公司
404,陕西能源投资股份有限公司
405,陕西钢铁集团有限公司
406,陕西北元化工集团股份有限公司
407,陕西延长中煤榆林能源化工有限公司
408,陕西环保固体废物处置利用有限责任公司
409,陕汽集团商用车有限公司
410,陕西建工集团股份有限公司
411,陕西燃气集团新能源发展有限公司
412,金川集团股份有限公司
413,西北永新集团有限公司
414,甘肃省公路交通建设集团有限公司
415,兰州中川国际机场有限公司
416,甘肃省国有资产投资集团有限公司
417,甘肃工程咨询集团有限公司
418,青海三江原牧农业股份有限公司
419,西宁国家低碳产业基金投资管理有限公司
420,宁夏水务投资集团有限公司
421,宁夏建设投资集团有限公司
422,银川通联资本投资运营有限公司
423,西部黄金股份有限公司
424,新疆交通建设集团股份有限公司
425,新疆美克化工股份有限公司
426,新疆蓝山屯河化工股份有限公司
427,新疆生产建设兵团石油有限公司
428,新疆通用航空有限责任公司
429,新疆冠农果茸集团股份有限公司
430,新疆生产建设兵团建设工程（集团）有限责任公司
431,大连市建设投资集团有限公司
432,瓦房店轴承集团有限责任公司
433,三寰集团有限公司
434,宁波国际投资咨询有限公司
435,宁波市交通建设工程试验检测中心有限公司
436,厦门国贸控股集团有限公司
437,厦门象屿集团有限公司
438,厦门国际港务股份有限公司
439,厦门厦工机械股份有限公司
440,夏商农产品集团
441,双星集团有限责任公司
442,青岛宏达塑胶总公司
443,深圳市投资控股有限公司
444,深圳市粮食集团有限公司
445,深圳国际控股有限公司
446,深圳市特发集团有限公司
447,深圳市远致投资有限公司
